id_vict,x,y,tri
25,-38,-37,2
16,-41,-40,3
3,-45,-44,1
2,-45,-45,2
0,-46,-43,2
4,-45,-43,0
6,-44,-45,1
12,-42,-46,0
8,-43,-43,2
24,-38,-45,1
20,-39,-44,3
21,-39,-43,3
35,-33,-42,2
1,-46,-39,1
7,-44,-37,0
13,-42,-38,2
9,-43,-37,2
17,-41,-37,3
42,-30,-44,3
43,-30,-43,0
26,-36,-37,2
27,-36,-36,2
22,-39,-35,2
18,-41,-30,0
14,-42,-30,3
10,-43,-29,3
5,-45,-27,2
15,-42,-28,0
11,-43,-27,1
31,-34,-38,0
36,-33,-38,2
38,-32,-39,0
39,-31,-40,1
47,-29,-41,3
44,-30,-42,2
73,-20,-46,2
156,-24,47,3
147,-28,46,0
151,-27,45,2
144,-29,42,1
133,-35,47,3
141,-30,41,1
130,-37,42,2
122,-41,45,0
127,-38,42,3
126,-40,42,3
129,-37,37,0
